region,01.01.2025,01.02.2025,01.03.2025,01.04.2025,01.05.2025,01.06.2025,01.07.2025,01.08.2025,01.09.2025,01.10.2025,01.11.2025,01.12.2025,01.01.2026,01.02.2026,01.03.2026,01.04.2026
Республика Мордовия,63 750,39 286,42 308,50 000,48 585,39 886,40 000,53 500,71 983,57 778,65 357,66 677,50 000,53 333,53 333,90 000
Челябинская область,100 000,100 000,95 000,90 667,96 077,96 154,91 503,82 143,100 000,100 000,83 333,92 708,72 727,108 108,90 955,88 889
Самарская область,104 167,106 667,100 000,95 119,90 000,97 088,100 000,111 111,116 667,100 000,119 950,116 667,110 000,107 418,100 000,87 209
Кировская область,51 111,54 167,44 900,54 545,50 000,47 500,47 794,56 849,56 667,61 208,35 294,50 104,50 000,48 101,38 636,80 220
Пермский край,72 002,63 636,56 458,66 600,62 500,63 167,67 901,62 727,77 586,68 493,55 694,68 493,82 353,60 576,66 964,80 000
Удмуртская Республика,103 298,106 106,87 829,90 476,93 750,98 578,97 423,99 583,100 000,104 571,100 000,100 000,100 005,123 651,86 875,80 000
Свердловская область,83 570,80 000,83 234,73 252,85 000,80 278,90 537,80 000,85 000,106 289,90 000,85 000,81 818,91 949,66 288,79 438
Ивановская область,85 000,77 778,71 429,87 736,86 747,75 000,62 500,76 136,75 949,70 000,87 386,76 528,74 038,73 333,76 623,78 571
Тульская область,57 535,60 000,66 667,64 968,62 500,57 778,67 000,63 333,50 000,59 545,60 000,45 455,54 200,60 000,60 000,76 667
Оренбургская область,157 500,185 714,118 333,160 494,164 286,134 782,118 750,100 000,166 667,146 225,125 000,129 089,179 464,151 667,175 000,75 357
Ярославская область,75 000,83 333,59 167,75 000,69 392,57 732,65 000,77 153,75 000,68 182,77 778,59 667,75 000,65 278,89 170,75 000
Алтайский край,124 099,118 333,119 211,121 831,108 333,108 333,100 000,83 333,125 000,110 000,106 071,109 412,117 708,105 833,85 000,70 000
Волгоградская область,113 158,116 473,89 000,115 000,112 903,111 806,100 000,121 429,125 000,121 429,131 602,115 385,142 857,93 750,87 889,66 667
Владимирская область,73 229,95 016,71 198,76 899,73 333,60 000,68 279,66 667,66 129,87 669,86 207,71 049,62 500,73 333,57 143,65 455
Брянская область,75 000,71 825,70 000,65 000,83 000,69 750,70 000,69 167,68 519,76 923,58 333,73 805,68 750,144 167,50 000,65 303
Приморский край,150 000,157 143,150 000,124 328,140 000,132 275,150 000,180 000,120 000,135 340,69 333,110 000,147 184,113 924,100 529,60 000
Рязанская область,73 417,66 667,60 000,56 250,71 825,60 000,80 000,77 500,79 412,69 444,62 750,64 810,66 517,83 333,80 000,60 000
Республика Хакасия,50 000,66 667,61 947,65 000,72 727,62 223,53 333,54 167,60 000,61 417,68 333,64 516,64 273,66 083,62 500,57 941
Кемеровская область,66 667,54 356,66 667,66 667,56 667,57 143,58 333,66 667,60 000,52 381,75 962,66 667,53 763,55 962,54 772,57 000
Вологодская область,50 000,60 769,49 000,41 742,49 500,50 000,48 816,43 333,55 000,47 494,58 000,64 833,55 714,54 422,54 015,51 020
